"filename", "language", "HTML", "CSS", "JavaScript", "comment", "blank", "total"
"/Users/christian/School/Code/project_four/dist/categories.html", "HTML", 6, 0, 0, 0, 1, 7
"/Users/christian/School/Code/project_four/dist/chat.html", "HTML", -100, 0, 0, 0, -8, -108
"/Users/christian/School/Code/project_four/dist/components/chat-header.html", "HTML", 10, 0, 0, 0, 0, 10
"/Users/christian/School/Code/project_four/dist/components/chat.html", "HTML", 13, 0, 0, 1, 1, 15
"/Users/christian/School/Code/project_four/dist/components/chatsystem.html", "HTML", 0, 0, 0, 0, -1, -1
"/Users/christian/School/Code/project_four/dist/components/conversation.html", "HTML", 10, 0, 0, 0, 0, 10
"/Users/christian/School/Code/project_four/dist/components/footer.html", "HTML", -7, 0, 0, 0, 0, -7
"/Users/christian/School/Code/project_four/dist/components/textbox.html", "HTML", -1, 0, 0, 0, 0, -1
"/Users/christian/School/Code/project_four/dist/home.html", "HTML", 7, 0, 0, 0, 3, 10
"/Users/christian/School/Code/project_four/dist/index.html", "HTML", 68, 0, 0, -1, 19, 86
"/Users/christian/School/Code/project_four/dist/pages/call.html", "HTML", 4, 0, 0, 0, 0, 4
"/Users/christian/School/Code/project_four/dist/pages/conversation.html", "HTML", 11, 0, 0, 0, 1, 12
"/Users/christian/School/Code/project_four/dist/pages/files.html", "HTML", 0, 0, 0, 0, 1, 1
"/Users/christian/School/Code/project_four/dist/pages/notifications.html", "HTML", 12, 0, 0, 0, 2, 14
"/Users/christian/School/Code/project_four/dist/pages/posts.html", "HTML", 8, 0, 0, 0, 1, 9
"/Users/christian/School/Code/project_four/dist/scripts/individual/keanu.js", "JavaScript", 0, 0, 18, 0, 5, 23
"/Users/christian/School/Code/project_four/dist/scripts/individual/maja.js", "JavaScript", 0, 0, 51, 2, 9, 62
"/Users/christian/School/Code/project_four/dist/scripts/individual/peter.js", "JavaScript", 0, 0, 0, 0, 1, 1
"/Users/christian/School/Code/project_four/dist/scripts/individual/rikke.js", "JavaScript", 0, 0, 4, 0, 5, 9
"/Users/christian/School/Code/project_four/dist/styles/main.css", "CSS", 0, -3, 0, 2, -11, -12
"Total", "-", 41, -3, 73, 4, 29, 144
